"Date of Download: 2023-05-24_16:27:46"
"Search Parameters: Data Level:all  Trait List:  Trial List:10649,11057,11213,10794  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0"

"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Change in weight after boiling computation percentage|month 10|boiling time 20 minutes|COMP:0000224","Change in weight after boiling computation percentage|month 10|boiling time 30 minutes|COMP:0000225","Total carotenes ug/g NIRS 400-2500 nm|CO_334:0001051","beta carotene content ug/g NIRS 400-2500 nm|CO_334:0001053","branching level counting|CO_334:0000079","dry matter content by specific gravity method|CO_334:0000160","dry matter content by table-top NIRS in percentage|CO_334:0002057","first apical branch height measurement in cm|CO_334:0000106","fresh root yield|CO_334:0000013","fresh storage root weight per plot|CO_334:0000012","initial plant vigor assessment 1-5|CO_334:0000220","lodged plants estimation 1-3|CO_334:0000301","marketable root number counting|CO_334:0000169","number of planted stakes per plant counting|CO_334:0000300","number of planted stakes per plot counting|CO_334:0000159","plant architecture visual rating 1-5|CO_334:0000099","plant height measurement in cm|CO_334:0000018","plant height with leaf in cm|CO_334:0000123","plant stands harvested counting|CO_334:0000010","root color visual rating 1-3|CO_334:0000221","root constriction visual rating 1-3|CO_334:0000109","root evaluation scaled 1-5|CO_334:0000228","root flesh color 25% center ring visual rating 1-8|CO_334:0002080","root flesh color 25% outer ring visual rating 1-8|CO_334:0002081","root flesh color 50% inner ring visual rating 1-8|CO_334:0002079","root length evaluation scaled 1-3|CO_334:0000226","root weight in air|CO_334:0000157","root weight in water|CO_334:0000158","rotted storage root counting|CO_334:0000084","sprout count discrete counting|CO_334:0000138","storage root neck length visual rating 1-3|CO_334:0000223","storage root shape visual rating 1-6|CO_334:0000020","thrips severity : visual 1-5|CO_334:0002084","thrips severity : visual 1-5|at harvesting|COMP:0000282","total carotenoid by chart 1-8|CO_334:0000161","notes"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5003241","202230BCEPR_ciat_rep1_CG1141-1_3","1","1","3","1","3","check","","","","1.4144934","0.7564377","3","","41.312603","","","","2","1","","","5","4","","","2","3","","4","","","","","","","0","5","","","1","","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","139257","CG1141-1","","plot","5003262","202230BCEPR_ciat_rep1_CG1141-1_42","1","1","42","7","6","check","","","","0.9889926","0.4837708","3","","41.6385612","","","","2","1","","","5","4","","","2","2","","5","","","","","","","0","5","","","1","","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5003254","202230BCEPR_ciat_rep1_CM4919-1_23","1","1","23","4","2","check","","2.59575305461636","8.68888531100736","3.5966458","1.9121482","1","","39.2411346","","","","3","1","","","5","3","","","2","3","","3","","","","","","","0","5","","","1","","3"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","139268","CM4919-1","","plot","5003265","202230BCEPR_ciat_rep1_CM4919-1_45","1","1","45","8","4","check","","5.23765195487898","15.3625013689629","3.9687166","1.976555","1","","37.8039017","","","","4","1","","","5","3","","","2","3","","3","","","","","","","0","5","","","1","","3"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5003237","202230BCEPR_ciat_rep1_COL2215_12","1","1","12","2","1","check","","","","0.9764805","0.4906297","3","","43.5207787","","","","3","1","","","5","4","","","2","3","","4","","","","","","","0","5","","","1","","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","139299","COL2215","","plot","5003239","202230BCEPR_ciat_rep1_COL2215_16","1","1","16","3","4","check","","11.7127308303779","22.9423994129876","0.8510508","0.1594526","3","","45.1217537","","","","2","1","","","5","5","","","2","3","","3","","","","","","","0","5","","","1","","1"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","3748071","GM12370A-4","","plot","5003247","202230BCEPR_ciat_rep1_GM12370A-4_11","1","1","11","2","2","test","","6.61396340380174","17.7722508438444","14.0469141","8.9746552","4","","39.7469521","","","","3","1","","","5","4","","","2","3","","2","","","","","","","0","5","","","1","","4"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","3748257","GM12421A-2","","plot","5003283","202230BCEPR_ciat_rep1_GM12421A-2_2","1","1","2","1","2","test","","5.69770313657695","13.9664114596196","20.6503143","11.4489632","1","","42.1556015","","","","2","1","","","5","3","","","2","3","","4","","","","","","","0","5","","","1","","5"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","3748371","GM12569A-9","","plot","5003236","202230BCEPR_ciat_rep1_GM12569A-9_32","1","1","32","6","5","test","","5.86322107566306","14.2219331184767","21.4041119","15.4433537","3","","40.0227242","","","","3","1","","","5","2","","","2","3","","3","","","","","","","0","5","","","1","","7"," (Operator: lizbethpino, Time: )"
"2022","174","CIAT","CIAT cassava breeding, Cali, Colombia","10649","202230BCEPR_ciat","202230BCEPR_ciat","RCBD","1.2","4","","no","no","2022-July-07","2023-May-09","41","CIAT. Valle, Colombia","154913","SM2775-4","","plot","5003264","202230BCEPR_ciat_rep1_SM2775-4_25","1","1","25","5","1","check","","20.3193498948569","27.4869016644688","1.0333114","0.3250115","2","","45.2660065","","","","3","1","","","5","3","","","2","3","","3","","","","","","","0","5","","","1","","1"," (Operator: lizbethpino, Time: )"
